Año,Periodo,Fecha,Evolucion de la contratacion Indefinido,Evolucion de la contratacion Temporal,Total de población inactiva,Ocupados a tiempo completo,Ocupados a tiempo parcial,Personas en paro,Evolución a tiempo completo,Evolución a tiempo parcial,Número de activos,Robos con fuerza en domicilios,Homicidios registrados por los cuerpos de seguridad,Infracciones por tráfico de drogas,Robos con violencia e intimidación
2002,Trimestre 1,1/01/02,9039.2,4264.3,15835.5,,,2152.8,,,18635.1,,,,
2002,Trimestre 2,1/04/02,9209.3,4375.7,15769.2,,,2103.3,,,18870.2,,,,
2002,Trimestre 3,1/07/02,9374.7,4402.8,15689.5,,,2195.9,,,19115.3,,,,
2002,Trimestre 4,1/09/02,9453.2,4416.4,15758.1,,,2232.5,,,19224.3,,,,
2003,Trimestre 1,1/01/03,9568,4370.2,15712.8,,,2328.5,,,19421.2,,,,
2003,Trimestre 2,1/04/03,9701,4550.9,15649.4,,,2215.8,,,19639.2,,,,
2003,Trimestre 3,1/07/03,9816.4,4652.2,15537.2,,,2247.4,,,19893.5,,,,
2003,Trimestre 4,1/09/03,9858.9,4687.5,15565.8,,,2276.6,,,20017.1,,,,
2004,Trimestre 1,1/01/04,9914.9,4620.7,15624.9,16240.8,,2309.7,,,20080,,,,
2004,Trimestre 2,1/04/04,10005.7,4746.1,15571.9,16428.4,,2247.7,,,20266.5,,,,
2004,Trimestre 3,1/07/04,10042,4978.2,15498.7,16706.8,1582.3,2199.9,,,20488.9,,,,
2004,Trimestre 4,1/09/04,10199,5012.6,15516.6,16890.9,1599.9,2176.8,,,20667.7,,,,
2005,Trimestre 1,1/01/05,10358.3,4853.1,15494,16308.7,2427.4,2121.3,,,20857.4,,,,
2005,Trimestre 2,1/04/05,10457.5,5232.2,15389.4,16744.4,2416.2,1969.2,,,21129.7,,,,
2005,Trimestre 3,1/07/05,10467.2,5502.1,15445,17198.4,2223.6,1783.6,,,21205.6,,,,
2005,Trimestre 4,1/09/05,10613.7,5411.5,15426.9,17203.1,2306.1,1860.1,,,21369.5,,,,
2006,Trimestre 1,1/01/06,10726.7,5341.8,15396.2,17177.6,2400.8,1942.9,,,21521.3,,,,
2006,Trimestre 2,1/04/06,10705.9,5594.3,15329.7,17495,2396.6,1834.5,,,21726,,,,
2006,Trimestre 3,1/07/06,10831.7,5717,15351.7,17851.3,2239.6,1766.8,,,21857.8,,,,
2006,Trimestre 4,1/09/06,11036.9,5608,15373.8,17833.1,2362.2,1819.5,,,22014.8,,,,
2007,Trimestre 1,1/01/07,11386.1,5315.2,15440.2,17784.4,2483.1,1863.2,,,22130.8,,,,
2007,Trimestre 2,1/04/07,11590.8,5390.6,15389.8,18160.1,2420.8,1773.3,,,22354.1,,,,
2007,Trimestre 3,1/07/07,11652.4,5442.2,15356.8,18488,2265.4,1806.1,,,22559.6,,,,
2007,Trimestre 4,1/09/07,11826.3,5268.7,15441.3,18348.9,2368.9,1942,,,22659.9,,,,
2008,Trimestre 1,1/01/08,11906.7,5103.4,15414,18185.8,2434.2,2190.5,,,22810.4,,,,
2008,Trimestre 2,1/04/08,12050.4,4987.2,15309,18215.2,2431.7,2385.6,,,23032.6,,,,
2008,Trimestre 3,1/07/08,11954.6,4965.5,15290.7,18257.7,2298.8,2600.8,,,23157.1,,,,
2008,Trimestre 4,1/09/08,11907.4,4569.8,15284.5,17595.9,2459.3,3206.8,,,23262.1,,,,
2009,Trimestre 1,1/01/09,11981.2,4031.9,15286.7,16880.9,2403.6,4018.2,,,23302.6,,,,
2009,Trimestre 2,1/04/09,11936.7,3986.4,15337.6,16728.9,2425.3,4139.6,,,23293.8,,,,
2009,Trimestre 3,1/07/09,11790.3,4073.4,15450.3,16798,2300.5,4121.2,,,23219.8,,,,
2009,Trimestre 4,1/09/09,11802.7,3921.9,15487.5,16433.1,2457.4,4335,,,23225.4,,,,
2010,Trimestre 1,1/01/10,11736.3,3753.3,15454.4,16210.1,2442.8,4617.7,,,23270.5,,,,
2010,Trimestre 2,1/04/10,11759.7,3860.2,15338.6,16268.6,2482.5,4655.4,,,23406.4,,,,
2010,Trimestre 3,1/07/10,11724.1,3981.1,15364.3,16457.7,2361.3,4585.4,,,23404.4,,,,
2010,Trimestre 4,1/09/10,11719.3,3835.4,15424.7,16208.9,2466,4702.2,,,23377.1,,,,
2011,Trimestre 1,1/01/11,11593.1,3774.3,15461.4,15868.3,2557.9,4920.9,,,23347.3,,,,
2011,Trimestre 2,1/04/11,11634.7,3944.9,15360.9,16035.4,2586.5,4844.3,,,23466.2,,,,
2011,Trimestre 3,1/07/11,11478.1,4001.2,15369.1,16089.1,2395.3,4998.1,16089.1,2395.3,23482.5,,,,
2011,Trimestre 4,1/09/11,11393.6,3756.9,15441.5,15700.4,2452.6,5287.3,15700.4,2452.6,23440.3,,,,
2012,Trimestre 1,1/01/12,11260.5,3463.2,15421.2,15263.7,2501.4,5667.8,15263.7,2501.4,23433,,,,
2012,Trimestre 2,1/04/12,11271.8,3448.5,15334.1,15152.5,2606,5731.1,15152.5,2606,23489.5,62056,199,7439,45481
2012,Trimestre 3,1/07/12,11086.8,3474.1,15307.2,15172.3,2495.4,5824.3,15172.3,2495.4,23491.9,62899.25,192.5,7264,45206.75
2012,Trimestre 4,1/09/12,11028.7,3260,15422.7,14723.4,2616,6021,14723.4,2616,23360.4,63742.5,186,7089,44932.5
2013,Trimestre 1,1/01/13,10917.6,3069.4,15424.8,14339.8,2690.4,6278.3,14339.8,2690.4,23308.4,64585.75,179.5,6914,44658.25
2013,Trimestre 2,1/04/13,10851.2,3221,15472.8,14389.4,2771.1,6047.3,14389.4,2771.1,23207.9,65429,173,6739,44384
2013,Trimestre 3,1/07/13,10726.5,3397.3,15423.9,14616.3,2613.7,5943.4,14616.3,2613.7,23173.4,64523.25,172.25,6630,42339.5
2013,Trimestre 4,1/09/13,10759.2,3334.3,15472.3,14381.4,2753.9,5935.6,14381.4,2753.9,23070.9,63617.5,171.5,6521,40295
2014,Trimestre 1,1/01/14,10707.6,3221.9,15599.7,14204.5,2746.1,5933.2,14204.5,2746.1,22883.9,62711.75,170.75,6412,38250.5
2014,Trimestre 2,1/04/14,10887.8,3429.7,15552.2,14508.9,2844.1,5622.7,14508.9,2844.1,22975.9,61806,170,6303,36206
